condition,seed,episode,step,action,template,action_signature,total_reward,external_reward,intrinsic_reward,semantic_gain,prophecy_error,error,flag_found,done,imagination_score,imagination_candidate_count
A1_TRANSFORMER_C3,0,0,1,MOVE_TOWARD,MOVE_TOWARD {KK_FRONTIER_CELL},"MOVE_TOWARD {KK_FRONTIER_CELL}|KK_FRONTIER_CELL=(1, 2)",0.872893741547691,0.0,0.8,8,0.24297913849230285,False,False,False,5.858452149605384,12
A1_TRANSFORMER_C3,0,0,2,MOVE_TOWARD,MOVE_TOWARD {KK_FRONTIER_CELL},"MOVE_TOWARD {KK_FRONTIER_CELL}|KK_FRONTIER_CELL=(0, 1)",0.03855116470359457,0.0,0.0,0,0.12850388234531523,False,False,False,5.885571473070309,11
A1_TRANSFORMER_C3,0,0,3,MOVE_TOWARD,MOVE_TOWARD {KK_FRONTIER_CELL},"MOVE_TOWARD {KK_FRONTIER_CELL}|KK_FRONTIER_CELL=(0, 2)",0.038404283724101304,0.0,0.0,0,0.1280142790803377,False,False,False,5.878305214258261,10
A1_TRANSFORMER_C3,0,0,4,MOVE_TOWARD,MOVE_TOWARD {KK_FRONTIER_CELL},"MOVE_TOWARD {KK_FRONTIER_CELL}|KK_FRONTIER_CELL=(2, 1)",0.038294801923595086,0.0,0.0,0,0.12764933974531695,False,False,False,5.869614320124353,11
A1_TRANSFORMER_C3,0,0,5,MOVE_TOWARD,MOVE_TOWARD {KK_FRONTIER_CELL},"MOVE_TOWARD {KK_FRONTIER_CELL}|KK_FRONTIER_CELL=(2, 2)",0.03818417052997744,0.0,0.0,0,0.12728056843325813,False,False,False,5.862720166037611,11
A1_TRANSFORMER_C3,0,0,6,MOVE_TOWARD,MOVE_TOWARD {KK_FRONTIER_CELL},"MOVE_TOWARD {KK_FRONTIER_CELL}|KK_FRONTIER_CELL=(1, 3)",-0.0014361884793801655,0.0,-0.1,1,0.32854603840206614,True,False,False,5.855295807954535,11
A1_TRANSFORMER_C3,0,0,7,INSPECT_CELL,INSPECT_CELL {KK_UNKNOWN_NEIGHBOR},"INSPECT_CELL {KK_UNKNOWN_NEIGHBOR}|KK_UNKNOWN_NEIGHBOR=(0, 2)",0.5729277366288266,0.0,0.5,5,0.2430924554294218,False,False,False,5.834159973585406,10
A1_TRANSFORMER_C3,0,0,8,MOVE_TOWARD,MOVE_TOWARD {KK_HINT_CELL},"MOVE_TOWARD {KK_HINT_CELL}|KK_HINT_CELL=(0, 2)",0.14694415216346776,0.0,0.1,1,0.15648050721155918,False,False,False,5.876166377383186,10
A1_TRANSFORMER_C3,0,0,9,MOVE_TOWARD,MOVE_TOWARD {KK_FRONTIER_CELL},"MOVE_TOWARD {KK_FRONTIER_CELL}|KK_FRONTIER_CELL=(0, 3)",0.27225284350709006,0.0,0.2,2,0.24084281169030014,False,False,False,5.86580423294261,9
A1_TRANSFORMER_C3,0,0,10,MOVE_TOWARD,MOVE_TOWARD {KK_FRONTIER_CELL},"MOVE_TOWARD {KK_FRONTIER_CELL}|KK_FRONTIER_CELL=(1, 0)",0.038244622114813255,0.0,0.0,0,0.1274820737160442,False,False,False,5.795246972422723,8
A1_TRANSFORMER_C3,0,0,11,INSPECT_CELL,INSPECT_CELL {KK_UNKNOWN_NEIGHBOR},"INSPECT_CELL {KK_UNKNOWN_NEIGHBOR}|KK_UNKNOWN_NEIGHBOR=(0, 1)",0.3554796036640929,0.0,0.30000000000000004,3,0.18493201221364292,False,False,False,5.681805472564186,7
A1_TRANSFORMER_C3,0,0,12,MOVE_TOWARD,MOVE_TOWARD {KK_FRONTIER_CELL},"MOVE_TOWARD {KK_FRONTIER_CELL}|KK_FRONTIER_CELL=(0, 0)",0.146610733970932,0.0,0.1,1,0.15536911323643995,False,False,False,5.69827538963811,5
A1_TRANSFORMER_C3,0,0,13,FOLLOW_HINT,FOLLOW_HINT {KK_HINT_VALUE},"FOLLOW_HINT {KK_HINT_VALUE}|KK_HINT_VALUE=(5, 2)",0.2472104873994891,0.0,0.2,2,0.15736829133163022,False,False,False,5.700277133516104,8
A1_TRANSFORMER_C3,0,0,14,INSPECT_CELL,INSPECT_CELL {KK_UNKNOWN_NEIGHBOR},"INSPECT_CELL {KK_UNKNOWN_NEIGHBOR}|KK_UNKNOWN_NEIGHBOR=(0, 0)",0.15533499968764994,0.0,0.1,1,0.18444999895883313,False,False,False,5.592778823678797,7
A1_TRANSFORMER_C3,0,0,15,MOVE_TOWARD,MOVE_TOWARD {KK_HINT_CELL},"MOVE_TOWARD {KK_HINT_CELL}|KK_HINT_CELL=(0, 2)",-0.01179435238008366,0.0,-0.05,0,0.12735215873305447,False,False,False,5.119174328777461,4
A1_TRANSFORMER_C3,0,0,16,MOVE_TOWARD,MOVE_TOWARD {KK_FRONTIER_CELL},"MOVE_TOWARD {KK_FRONTIER_CELL}|KK_FRONTIER_CELL=(2, 1)",-0.012031401164311298,0.0,-0.05,0,0.12656199611896235,False,False,False,5.101401828821871,3
A1_TRANSFORMER_C3,0,0,17,MOVE_TOWARD,MOVE_TOWARD {KK_FRONTIER_CELL},"MOVE_TOWARD {KK_FRONTIER_CELL}|KK_FRONTIER_CELL=(2, 2)",-0.012145674603115095,0.0,-0.05,0,0.12618108465628303,False,False,False,4.878717047412355,4
A1_TRANSFORMER_C3,0,0,18,MOVE_TOWARD,MOVE_TOWARD {KK_FRONTIER_CELL},"MOVE_TOWARD {KK_FRONTIER_CELL}|KK_FRONTIER_CELL=(1, 0)",-0.012249871349286338,0.0,-0.05,0,0.12583376216904554,False,False,False,4.764596464650368,3
A1_TRANSFORMER_C3,0,0,19,MOVE_TOWARD,MOVE_TOWARD {KK_HINT_CELL},"MOVE_TOWARD {KK_HINT_CELL}|KK_HINT_CELL=(0, 2)",-0.012231092252435898,0.0,-0.05,0,0.12589635915854702,False,False,False,4.273144271086895,4
